Brand,Model,Preis,Jahr,Kilometer,PS,Getriebe
BMW,M3 Touring xDrive Competition M *Mandarin*,82890.00,01.2024,4200,510,Automatikgetriebe
BMW,120i,32600.00,06.2023,29800,178,Automatikgetriebe
BMW,X7 xDrive 48V 40d M Sport Pro Steptronic 7Plätzer+ 3.5T AHK,92900.00,01.2024,27000,340,Automatikgetriebe
BMW,520d xDrive Touring,66900.00,06.2024,20750,208,Automatikgetriebe
BMW,M5 xDrive,148900.00,02.2025,5000,727,Automatikgetriebe
BMW,M235i Gran Coupé xDrive M Sport Pro Steptronic,39800.00,04.2021,42900,306,Automatikgetriebe
BMW,X5 xDrive 50e M Sport Steptronic,89900.00,07.2024,15500,489,Automatikgetriebe
BMW,X1 xDrive 25e M Sport Steptronic,24990.00,11.2020,155150,220,Automatikgetriebe
BMW,i3 (120Ah) Fleet Edition,17900.00,06.2021,35500,170,Automatikgetriebe
BMW,520d xDrive 48V M Sport 4x4,53900.00,03.2024,23900,197,Automatikgetriebe
BMW,120d Steptronic,47900.00,Neues Fahrzeug,10,150,Automatikgetriebe
BMW,120d M Sport Steptronic,51900.00,Neues Fahrzeug,10,150,Automatikgetriebe
BMW,120d M Sport Pro Steptronic,54900.00,11.2024,9000,150,Automatikgetriebe
BMW,M440i xDrive 48V Coupé M Sport Pro Steptronic,85900.00,Neues Fahrzeug,10,374,Automatikgetriebe
BMW,X3 xDrive 48V 20d,70900.00,Neues Fahrzeug,10,197,Automatikgetriebe
BMW,X7 xDr 48 M60i M Sp. Pro,159900.00,Neues Fahrzeug,70,530,Automatikgetriebe
BMW,X2 xDrive M35i M Sport Pro,77900.00,Neues Fahrzeug,10,300,Automatikgetriebe
BMW,120d xDrive SAG,14900.00,08.2015,131000,190,Automatikgetriebe
BMW,318d 48V Tour M Sport,49900.00,07.2024,11600,150,Automatikgetriebe
BMW,220d M Sport Pro,48900.00,08.2024,3300,190,Automatikgetriebe
BMW,330d xDrive Touring Steptronic M Sport,34500.00,12.2020,67800,265,Automatikgetriebe
BMW,X3 xDrive 48 20d M Sport Individual / ACC / Head-Up Display,49900.00,06.2024,10570,190,Automatikgetriebe
BMW,M850i xDrive HAMANN 4x4,69900.00,05.2021,40922,530,Automatikgetriebe
BMW,M850i xDrive 4x4 Individual,69900.00,07.2019,26258,530,Automatikgetriebe
BMW,120d xDrive SAG,29800.00,11.2020,67900,190,Automatikgetriebe
BMW,M850i xDrive Gran Coupé,86900.00,03.2023,40000,530,Automatikgetriebe
BMW,X5 50e xDrive SAG,89900.00,05.2024,27500,489,Automatikgetriebe
BMW,320d xDrive SAG Touring,44900.00,05.2024,42332,201,Automatikgetriebe
BMW,X5 45e xDrive 45e M Sport,56925.00,12.2020,69700,394,Automatikgetriebe
BMW,650i Coupé xDrive,21900.00,05.2013,125300,450,Automatikgetriebe
BMW,840i xDrive M Sport,63900.00,06.2021,35100,333,Automatikgetriebe
BMW,X5 xD 48V 30d M Sport Pro,84900.00,10.2024,15300,286,Automatikgetriebe
BMW,X5 xDrive 30d,45900.00,11.2019,86900,265,Automatikgetriebe
BMW,225xe AT Sport Line,22900.00,05.2021,65000,125,Automatikgetriebe
BMW,M135i xDrive,32900.00,03.2021,77400,306,Automatikgetriebe
BMW,X1 xDrive 25e M Sport,31900.00,03.2021,47700,125,Automatikgetriebe
BMW,i3 (120Ah),21900.00,04.2021,38700,170,Automatikgetriebe
BMW,iX3 Impressive,46900.00,04.2024,22500,286,Automatikgetriebe
BMW,iX1 xDrive 30 M Sport,54900.00,05.2024,12800,306,Automatikgetriebe
BMW,M235i Gran Coupé xDrive,37900.00,08.2021,43900,306,Automatikgetriebe
BMW,X5 xDrive45e MSport,52900.00,05.2021,59900,394,Automatikgetriebe
BMW,M4 Cabrio Competition M xDrive CURVED DISPLAY! Keramikbremsen / Driving Assistant Professional,82900.00,03.2024,31490,510,Automatikgetriebe
BMW,iX2 xDrive 30,39900.00,05.2024,19200,313,Automatikgetriebe
BMW,M440i xDrive 48V Cabrio INDIVIDUAL 4x4,59900.00,04.2023,21099,374,Automatikgetriebe
BMW,M4 Cabrio Competition M xDrive CURVED DISPLAY! Driving Assistant Professional,79900.00,02.2024,26590,510,Automatikgetriebe
BMW,X3 xDrive 20d Individual M Sport Steptronic,35900.00,11.2019,45900,190,Automatikgetriebe
BMW,X5 xDrive 30d Steptronic,55500.00,02.2020,53000,265,Automatikgetriebe
BMW,X3 M40i,47600.00,09.2019,72000,354,Automatikgetriebe
BMW,M440i xDrive Cabrio,48900.00,05.2021,52000,385,Automatikgetriebe
BMW,M850i xDrive Facelift LCI (CH),109900.00,01.2023,3500,530,Automatikgetriebe
BMW,430i xDrive Coupé M Sport Steptronic,69900.00,Neues Fahrzeug,10,245,Automatikgetriebe
BMW,X6 xDrive 48V 40d Steptronic M Sport,58900.00,03.2021,108900,340,Automatikgetriebe
BMW,X3 xDrive 48V 20d M Sport,44900.00,11.2023,89000,190,Automatikgetriebe
BMW,520d xDrive 48V Touring M Sport Steptronic,59900.00,06.2024,28500,197,Automatikgetriebe
BMW,220i Active Tourer M Sport DKG,51900.00,Neues Fahrzeug,10,156,Automatikgetriebe
BMW,M235 xDrive Gran Coupé M Sport Pro,73900.00,Neues Fahrzeug,10,300,Automatikgetriebe
BMW,M235 xDrive Gran Coupé M Sport Pro,74500.00,Neues Fahrzeug,10,300,Automatikgetriebe
BMW,223i Active Tourer xDrive M Sport DKG,57900.00,Neues Fahrzeug,10,204,Automatikgetriebe
BMW,i4 M50 M Sport Pro,87900.00,04.2025,2000,544,Automatikgetriebe
BMW,X6 xDr48V M60i M SportPro,152900.00,Neues Fahrzeug,10,530,Automatikgetriebe
BMW,M850i xDrive (CH) Individual Carbon,75900.00,07.2021,24499,530,Automatikgetriebe
BMW,M3 Competition M xDrive INDIVIDUAL Carbon 4x4,75900.00,05.2022,56900,510,Automatikgetriebe
BMW,X4 M 40i Steptronic,27900.00,05.2016,108000,360,Automatikgetriebe
BMW,i5 xDrive M60 Touring MSport Pro,89900.00,11.2024,7000,601,Automatikgetriebe
BMW,M4 xDrive Competition Cabrio,75900.00,10.2023,35000,510,Automatikgetriebe
BMW,440i Cabriolet xDrive Steptronic Platinum Plus Edition,44600.00,04.2020,48000,326,Automatikgetriebe
BMW,X5 xDrive 48V 40d M Sport Steptronic,64800.00,06.2022,57200,340,Automatikgetriebe
BMW,M340i xDrive 48V Touring Steptronic M Sport Pro,95295.00,Neues Fahrzeug,10,374,Automatikgetriebe
BMW,M135i xDrive Steptronic,29900.00,06.2020,69900,306,Automatikgetriebe
BMW,X3 xDrive M40i,50900.00,04.2022,45000,371,Automatikgetriebe
BMW,X7 xDr 48 40d M Sport Pro,139900.00,Neues Fahrzeug,100,340,Automatikgetriebe
BMW,M135i xDrive,52900.00,11.2024,9000,300,Automatikgetriebe
BMW,X5M Competition,189900.00,Neues Fahrzeug,10,626,Automatikgetriebe
BMW,X3 xDrive 48V M40d,61900.00,05.2022,14000,339,Automatikgetriebe
BMW,i3 (120Ah),23500.00,05.2021,16300,170,Automatikgetriebe
BMW,X5 40i xDrive SAG *CH-Fahrzeug*,47890.00,05.2018,79000,340,Automatikgetriebe
BMW,X7 xDrive 48V M60i Steptronic M Sport Pro,104900.00,06.2023,50900,530,Automatikgetriebe
BMW,X3 xDrive 30e M Sport,37900.00,04.2021,65700,292,Automatikgetriebe
BMW,iX M60,69900.00,06.2023,43000,598,Automatikgetriebe
BMW,520d xDrive 48V Touring M Sport Steptronic,55900.00,07.2024,32500,197,Automatikgetriebe
BMW,M340d xDrive Touring,67900.00,02.2024,22900,351,Automatikgetriebe
BMW,650i Cabrio xDrive,29900.00,03.2014,83000,450,Automatikgetriebe
BMW,840i xDrive M-Sport (CH) Individual,69900.00,03.2020,13999,340,Automatikgetriebe
BMW,M2 Coupé,72222.00,04.2024,17500,459,Automatikgetriebe
BMW,X6 xDrive 48V 30d M Sport | CH Fahrzeug | Leder Braun | Pano | Bowers&Wilkins| Individual | Technologie | AHK | Iconic |,64800.00,05.2022,69000,286,Automatikgetriebe
BMW,X6 40d xDrive *M-Sport*,62890.00,09.2021,69222,351,Automatikgetriebe
BMW,Z4 2.2i Roadster,7900.00,05.2005,185500,170,Schaltgetriebe
BMW,M6 Cabrio Competition | CH | Erstbesitz | Originalzustand | RUBINSCHWARZ | INDIVIDUAL | Carbon,62480.00,10.2015,107600,600,Automatikgetriebe
BMW,X3 xDrive M Competition Steptronic,58990.00,01.2021,26374,510,Automatikgetriebe
BMW,M340d xDrive Touring M-Sport Pro LCI-2,62900.00,08.2024,31900,351,Automatikgetriebe
BMW,X5 xDrive 48V 40d M Sport Steptronic + 3.5T AHK,81900.00,12.2023,28000,340,Automatikgetriebe
BMW,X1 xDrive 25e xLine,59900.00,07.2024,13000,245,Automatikgetriebe
BMW,X7 xDrive 48V 40d M Sport Steptronic,128900.00,03.2025,6500,340,Automatikgetriebe
BMW,i5 M60 Touring M Sport Pro,88900.00,09.2024,14000,601,Automatikgetriebe
BMW,X2 xDrive 20d 48V,54900.00,Neues Fahrzeug,10,150,Automatikgetriebe
BMW,X4 M40i 48V Steptronic,99900.00,Neues Fahrzeug,10,360,Automatikgetriebe
BMW,330e x DriveTouring Steptronic M Sport,75900.00,Neues Fahrzeug,10,292,Automatikgetriebe
BMW,iX xDrive50,89900.00,01.2025,8000,524,Automatikgetriebe
BMW,X1 xDrive 23d 48V M Sport,58900.00,08.2024,15000,211,Automatikgetriebe
BMW,225e xDr. Act. T. M Sport,54900.00,Neues Fahrzeug,1,136,Automatikgetriebe
BMW,M135 xDrive M Sport Pro,61900.00,11.2024,4600,300,Automatikgetriebe
BMW,X3 xDrive M Competition Steptronic | CH Fahrzeug | Head Up | Driving Assistant | AHK Carbon |,47490.00,09.2019,94000,510,Automatikgetriebe
BMW,M440i xDrive 48V Cabriolet Steptronic (CH),44900.00,03.2022,60000,,Automatikgetriebe
BMW,X6 xDrive 48V 40d Steptronic M Sport,64800.00,07.2021,59000,340,Automatikgetriebe
BMW,M850i xDrive First Edition Steptronic (CH),49900.00,10.2020,92000,530,Automatikgetriebe
BMW,X3 xDrive 30e M Sport (CH),36900.00,03.2020,46000,292,Automatikgetriebe
BMW,X2 xDrive 20i M Sport X Steptronic (CH),21900.00,07.2020,100000,192,Automatikgetriebe
BMW,X5 xDrive45e M Sport Steptronic (CH),51900.00,12.2020,56000,394,Automatikgetriebe
BMW,M5 xDrive Touring,,04.2025,500,727,Automatikgetriebe
BMW,X3 xDrive 30e Pure M Sport,63800.00,08.2024,4000,292,Automatikgetriebe
BMW,540d xDrive ///M Sport Pro,112900.00,Neues Fahrzeug,8,303,Automatikgetriebe
BMW,X4 xDrive 48V 20d M Sport Steptronic,70900.00,Neues Fahrzeug,10,190,Automatikgetriebe
BMW,X3 xDrive 48V 20d,65900.00,12.2024,6000,197,Automatikgetriebe
BMW,330e x DriveTouring Steptronic M Sport,68900.00,12.2024,4000,292,Automatikgetriebe
BMW,iX1 xDrive 30 M Sport Pro,70065.00,Neues Fahrzeug,1,306,Automatikgetriebe
BMW,520d xDr 48V Tour MSp.Pro,76900.00,09.2024,18500,197,Automatikgetriebe
BMW,218i Active Tourer DKG,43500.00,Neues Fahrzeug,10,136,Automatikgetriebe
BMW,X1 xDrive 25e xLine,62270.00,Neues Fahrzeug,1,136,Automatikgetriebe
BMW,220i Coupé M Sport,42890.00,04.2022,19000,184,Automatikgetriebe
BMW,330d xDrive SAG,54800.00,04.2024,18300,286,Automatikgetriebe
BMW,X7 xDrive 48V 40d,89900.00,08.2022,34000,340,Automatikgetriebe
BMW,X7 xDrive M50i,92900.00,11.2022,30800,530,Automatikgetriebe
BMW,430i xDrive Cabrio MSport Pro,61900.00,07.2024,9900,245,Automatikgetriebe
BMW,430i xDrive Cabrio MSport Pro,61900.00,06.2024,9900,245,Automatikgetriebe
BMW,320d xDrive 48V Touring MSport,53900.00,05.2024,22500,201,Automatikgetriebe
BMW,M440i xDrive Cabrio,65900.00,09.2023,19000,385,Automatikgetriebe
BMW,X3 xDrive 30d xLine Steptronic,32990.00,12.2019,95300,265,Automatikgetriebe
BMW,i3s 94Ah,16900.00,08.2020,75000,184,Automatikgetriebe
