structure,type,seas_adj,date,value
ks_i63_index_q,index,na,1972-10-01,9.269509212665184
ks_i63_index_q,index,na,1973-01-01,0.1844686332653649
ks_i63_index_q,index,na,1973-04-01,1.5127472063480236
ks_i63_index_q,index,na,1973-07-01,-1.5575023490975837
ks_i63_index_q,index,na,1973-10-01,-11.751342105169185
ks_i63_index_q,index,na,1974-01-01,-12.531589351397585
ks_i63_index_q,index,na,1974-04-01,-19.88389339780343
ks_i63_index_q,index,na,1974-07-01,-20.694436915156885
ks_i63_index_q,index,na,1974-10-01,-28.175375636616124
ks_i63_index_q,index,na,1975-01-01,-32.46465287837748
ks_i63_index_q,index,na,1975-04-01,-24.788194334600508
ks_i63_index_q,index,na,1975-07-01,-27.669917913221358
ks_i63_index_q,index,na,1975-10-01,-26.555623737502376
ks_i63_index_q,index,na,1976-01-01,-28.70860555177562
ks_i63_index_q,index,na,1976-04-01,-8.919011850072588
ks_i63_index_q,index,na,1976-07-01,-0.07919886503646256
ks_i63_index_q,index,na,1976-10-01,-6.36783224401193
ks_i63_index_q,index,na,1977-01-01,-20.052845533647016
ks_i63_index_q,index,na,1977-04-01,-3.14578256851162
ks_i63_index_q,index,na,1977-07-01,-1.5954621328688519
ks_i63_index_q,index,na,1977-10-01,-6.931520046335314
ks_i63_index_q,index,na,1978-01-01,-1.9706781889655385
ks_i63_index_q,index,na,1978-04-01,-2.815881899455963
ks_i63_index_q,index,na,1978-07-01,-3.6977835115113553
ks_i63_index_q,index,na,1978-10-01,-14.934557088206075
ks_i63_index_q,index,na,1979-01-01,-5.855087250261873
ks_i63_index_q,index,na,1979-04-01,-0.17783458891755455
ks_i63_index_q,index,na,1979-07-01,-11.98320613984144
ks_i63_index_q,index,na,1979-10-01,-12.774577924496068
ks_i63_index_q,index,na,1980-01-01,-9.165645717763375
ks_i63_index_q,index,na,1980-04-01,-7.050108438407584
ks_i63_index_q,index,na,1980-07-01,-9.159621180105407
ks_i63_index_q,index,na,1980-10-01,-12.575883987113968
ks_i63_index_q,index,na,1981-01-01,-13.67328417358409
ks_i63_index_q,index,na,1981-04-01,-22.706855750433046
ks_i63_index_q,index,na,1981-07-01,-24.233702672910056
ks_i63_index_q,index,na,1981-10-01,-31.408400904942162
ks_i63_index_q,index,na,1982-01-01,-24.063634053111763
ks_i63_index_q,index,na,1982-04-01,-22.12739740729583
ks_i63_index_q,index,na,1982-07-01,-29.108737702105277
ks_i63_index_q,index,na,1982-10-01,-30.257014083080932
ks_i63_index_q,index,na,1983-01-01,-27.291539390560715
ks_i63_index_q,index,na,1983-04-01,-12.45186232104605
ks_i63_index_q,index,na,1983-07-01,-16.60463336838467
ks_i63_index_q,index,na,1983-10-01,-16.90119533251598
ks_i63_index_q,index,na,1984-01-01,-8.011143850115
ks_i63_index_q,index,na,1984-04-01,-11.391225166330265
ks_i63_index_q,index,na,1984-07-01,-7.616604259417256
ks_i63_index_q,index,na,1984-10-01,-11.568508299502241
ks_i63_index_q,index,na,1985-01-01,-3.949883179571012
ks_i63_index_q,index,na,1985-04-01,-7.428175350738477
ks_i63_index_q,index,na,1985-07-01,-7.3716480998983185
ks_i63_index_q,index,na,1985-10-01,-2.6356634371403436
ks_i63_index_q,index,na,1986-01-01,5.949548795315999
ks_i63_index_q,index,na,1986-04-01,3.662941943403865
ks_i63_index_q,index,na,1986-07-01,-4.6335259656257755
ks_i63_index_q,index,na,1986-10-01,-0.9853534810704592
ks_i63_index_q,index,na,1987-01-01,0.18040205567702206
ks_i63_index_q,index,na,1987-04-01,-0.6998459894485594
ks_i63_index_q,index,na,1987-07-01,-4.04210696322627
ks_i63_index_q,index,na,1987-10-01,-8.355062661017133
ks_i63_index_q,index,na,1988-01-01,-6.730406949723735
ks_i63_index_q,index,na,1988-04-01,-6.976254198952688
ks_i63_index_q,index,na,1988-07-01,-1.4373687834840343
ks_i63_index_q,index,na,1988-10-01,-1.1591805214036377
